"","species","eu_status","google","scopus"
"1","Acizzia solanicola",NA,0,54
"2","Aridelus rufotestaceus",NA,0,12
"3","Austropsocus viridis",NA,0,0
"4","Blaste lignicola",NA,0,0
"5","Caryopteris incana",NA,4248,248
"6","Casuarinicola australis",NA,0,7
"7","Cheiloneurus flaccus",NA,0,2
"8","Clematostigma maculiceps",NA,0,0
"9","Crassula natans",NA,0,21
"10","Ctenoplusia limbirena",NA,0,2
"11","Cyrtaspis scutata",NA,235,3
"12","Epilobium hirsutum",NA,3799,623
"13","Erysiphe corylacearum",NA,0,27
"14","Eukoebelea australiensis",NA,0,0
"15","Eupholidoptera schmidti",NA,0,5
"16","Exomias pellucidus",NA,0,4
"17","Gryllus bimaculatus",NA,5217,7745
"18","Henosepilachna vigintioctopunctata",NA,2360,453
"19","Hylaeus euxanthus",NA,0,1
"20","Lachnus tatakaensis",NA,0,0
"21","Nephrolepis exaltata",NA,6716,570
"22","Neurogalesus militis",NA,0,1
"23","Paropsisterna beata",NA,0,8
"24","Phellopsylla formicosa",NA,0,1
"25","Pieris brassicae",NA,7748,11475
"26","Rhacocleis annulata",NA,0,22
"27","Rhyzobius lophanthae",NA,0,114
"28","Scutellista caerulea",NA,0,15
"29","Tinocallis ulmiparvifoliae",NA,0,3
